"SNS","Social Networking Service","人と人との社会的な繋がりを維持・促進する様々な機能を提供する、会員制のオンラインサービス。友人・知人間のコミュニケーションを円滑にする手段や場を提供したり、趣味や嗜好、居住地域、出身校、あるいは「友人の友人」といった共通点や繋がりを通じて新たな人間関係を構築する場を提供するサービスで、Webサイトや専用のスマートフォンアプリなどで閲覧・利用することができる。",
"DATファイル","DAT file","ファイル名の拡張子に「.dat」を持つファイル形式。“dat” は「データ」（data）の略号で、プログラムなどではなくデータを保存していることを示している。",
"スクリプト","script","台本、脚本、原稿、手書き、筆記体などの意味を持つ英単語。ITの分野では簡易なコンピュータプログラムをと呼ぶことが多い。",
"Web","World Wide Web","インターネット上で標準的に用いられている文書の公開・閲覧システム。文字や図表、画像、動画などを組み合わせた文書を配布することができる。文書内の要素に別の文書を指し示す参照情報（ハイパーリンク）を埋め込むことができる「ハイパーテキスト」（hypertext）と呼ばれるシステムの一種である。",
"KPI","Key Performance Indicator","目標の達成度合いを計るために継続的に計測・監視される定量的な指標。組織や個人が日々活動、業務を進めていくにあたり、「何をもって進捗とするのか」を定義するために用いられる尺度のこと。",
"API","Application Programming Interface","あるコンピュータプログラム（ソフトウェア）の機能や管理するデータなどを、外部の他のプログラムから呼び出して利用するための手順やデータ形式などを定めた規約のこと。",
"イーサネット","Ethernet","主に室内や建物内でコンピュータや電子機器をケーブルで繋いで通信する有線LAN（構内ネットワーク）の標準の一つで、最も普及している規格。",
"プラットフォーム","platform","台、壇、台地、高台、舞台、演壇、乗降場、綱領などの意味を持つ英単語。ITの分野では、ある機器やソフトウェアを動作させるのに必要な、基盤となる装置やソフトウェア、サービス、あるいはそれらの組み合わせ（動作環境）のことをという。",
"SSD","Solid State Drive","記憶媒体としてフラッシュメモリを用いるドライブ装置。ハードディスクドライブ（HDD）などと同じストレージ（外部記憶装置）としてコンピュータに接続し、プログラムやデータの永続的な保存に用いる。",
"IoT","Internet of Things","コンピュータなどの情報・通信機器だけでなく、世の中に存在する様々な物体（モノ）に通信機能を持たせ、インターネットに接続したり相互に通信することにより、自動認識や自動制御、遠隔計測などを行うこと。",
"SATA","Serial ATA","コンピュータとハードディスクや光学ドライブなどの記憶装置を接続するIDE（ATA）規格の拡張仕様の一つ。従来のATA仕様の後継仕様で、2000年11月に業界団体「Serial ATA Working Group」によって仕様の策定が行われた。同グループにはコンピュータメーカーや記憶装置メーカーの大手が参加している。",
"レジスタ","register","マイクロプロセッサ（MPU/CPU）内部にある、演算や実行状態の保持に用いる記憶素子。最も高速な記憶装置だが、一般的なCPU製品で数個から数十個（容量に換算して数十バイト程度）と数が限られる。GPUなど特殊なプロセッサでは数万個（数百キロバイト）のを内蔵するものもある。",
"HTTP","HyperText Transfer Protocol","WebサーバとWebクライアントの間でデータの送受信を行うために用いられるプロトコル（通信規約）。Webページを構成するHTMLファイルや、ページに関連付けられたスタイルシート、スクリプト、画像、音声、動画などのファイルを、データ形式などのメタ情報を含めてやり取りすることができる。",
"HDCP","High-bandwidth Digital Content Protection","著作権で保護された映像コンテンツが表示装置へ伝送される間に不正にコピーされるのを防止する暗号化技術。コンピュータなどの情報機器とテレビやディスプレイ装置を繋ぐHDMIやDVI、DisplayPortなどの接続規格で利用される。",
"MACアドレス","Media Access Control address","通信ネットワーク上で各通信主体を一意に識別するために物理的に割り当てられた、48ビットの識別番号。リンク層（データリンク層）の通信規約（プロトコル）であるMAC（Media Access Control：メディアアクセス制御）で用いられるアドレスで、「物理アドレス」（phycial address）などと呼ばれることもある。",
"PDF","Portable Document Format","米アドビ（Adobe）社が開発した、どのような環境でも同じように表示・印刷できる電子文書のファイル形式。1993年に登場し、2008年にはISO（国際標準化機構）によって標準化された。",
"CSR","Corporate Social Responsibility","企業が社会に与える影響について責任を持ち、社会の持続的発展のために貢献すべきとする考え方。また、そのような考え方に基づいて実践される諸活動。",
"BIOS","Basic Input/Output System","パソコンなどの主基板（マザーボード）などに格納されたコンピュータプログラム（ファームウェア）の一種で、起動時のOSの読み込みや、接続された装置・機器に対する基本的な入出力制御などを行うもの。",
"Cookie","HTTP Cookie","Webサイトの提供者が、Webブラウザを通じて訪問者のコンピュータに一時的にデータを書き込んで保存させる仕組み。",
"プロファイル","profile","輪郭、横顔、分析結果、略歴などの意味を持つ英単語。一般の外来語としては「プロフィール」（またはプロフィル）と表記するのが一般的だが、これは英語の “profile” に対応するフランス語 “profil” が由来で、人物紹介などの意味で用いられる。",
"モジュール","module","機能単位、交換可能な構成部分などを意味する英単語。機器やシステムの一部を構成するひとまとまりの機能を持った部品で、システム中核部や他の部品への接合部（インターフェース）の仕様が明確に定義され、容易に追加や交換ができるようなもののことを指す。",
"ASCII","American Standard Code for Information Interchange","アルファベットや数字、記号などを収録した文字コードの一つ。最も基本的な文字コードとして世界的に普及しており、他の多くの文字コードがの拡張になるよう実装されている。文字を7ビットの値（0～127）で表し、128文字が収録されている。",
"インターフェース","interface","接点、境界面、接触面、接合面、仲立ち、橋渡しなどの意味を持つ英単語。IT関連では、二つのものが接続・接触する箇所や、両者の間で情報や信号などをやりとりするための手順や規約を定めたものを意味する。「ハードウェア」「ソフトウェア」「ユーザー」の三つに大別できる。",
"サインイン","sign-in","システムに自分の身元を示す情報を入力し、接続や利用開始を申請すること。システムの保管している身元情報に一致すると、あらかじめ決められた権限に基づいてそのシステムを利用することができる。",
"URL","Uniform Resource Locator","インターネット上に存在するデータやサービスなどの情報資源の位置を記述する標準的な記法の一つ。Webページの所在を書き表す方式として広く普及している。",
"クラウド","cloud","雲、大群、集団などの意味を持つ英単語。全体像の不明確なもやもやした塊・集まりを比喩的に表すことが多い。IT分野では、コンピュータ資源を通信ネットワークを介して遠隔から利用するシステム形態を「コンピューティング」（cloud computing）という。",
"ID","identification","識別、鑑別、同定、特定、身元確認、身分証明、身分証明書などの意味を持つ英単語。複数の同種の対象から特定の一つを識別、同定すること（identification）や、そのような識別に用いられる名前や符号（identifier）、また、それらを記した文書やカードなどのことをという。",
"SMS","Short Message Service","携帯電話間で短い文字メッセージを送受信できるサービス。相手の電話番号を指定して、全角（日本語）なら数十文字、半角（英数字）なら百数十文字程度までの文字のメッセージを、加入者間で即時に交換できる。画像や音声などを添付できるよう拡張したものをMMS（Multimedia Messaging Service）という。1通の送信につき数円から数十円課金される場合が多い。",
"フラッシュメモリ","flash memory","半導体素子を利用した記憶装置の一つで、何度も繰り返し書き込みができ、通電をやめても記憶内容が維持されるもの。近年、データを永続的に保存するストレージ（外部記憶装置）製品の記憶素子として急激に普及している。",
"サーバ","server","コンピュータネットワークにおいて、他のコンピュータに対し、自身の持っている機能やサービス、データなどを提供するコンピュータのこと。また、そのような機能を持ったソフトウェア。",
"JPEG","Joint Photographic Experts Group","静止画像のデータ圧縮形式の一つ。フルカラーの画像を多少の劣化を伴いながら高い圧縮率で符号化できるのが特徴で、写真など自然画像の記録に向いている。ファイル名の標準の拡張子は「.jpg」あるいは「.jpeg」。",
"HD","High Definition","テレビなどの映像の画素数・解像度の水準を表す用語の一つで、かつてのアナログテレビよりも有意に高精細なもののこと。画質のテレビ放送のことは「TV」（High Definition Television：高精細テレビ放送）という。",
"トランザクション","transaction","商取引、売買、執行、取扱、議事録などの意味を持つ英単語。ITの分野では、取引記録などの意味の他に、ソフトウェアの処理方式の一つで、互いに関連・依存する複数の処理をまとめ、一体不可分の処理単位として扱うことを指す場合が多い。",
"ノイマン型コンピュータ","von Neumann architecture","プログラムをデータとして記憶装置に格納し、これを順番に読み込んで実行するコンピュータ。現在のコンピュータのほとんどがこの方式を採用している。「コンピュータの父」とも呼ばれるアメリカの数学者、ジョン・フォン・ノイマン（John von Neumann）の名に由来する。",
"SSID","Service Set Identifier","無線LAN（Wi-Fi）におけるアクセスポイントの識別名。混信を避けるために付けられる名前で、最大32文字までの英数字を任意に設定できる。同一のネットワークで複数のアクセスポイントを設置する場合を考慮してネットワーク識別名に拡張したものをE（Extended ：拡張）という。現在ではEの意味でという語を使う場合が多い。",
"プロパティ","property","財産、資産、物件、所有物、特性、属性、性質、効能などの意味を持つ英単語。ITの分野では、ソフトウェアが取り扱う対象（オブジェクト）の持つ設定や状態、属性などの情報をということが多い。一般の外来語としてはあまり定着しておらず、不動産や資産といった意味で企業名の一部などに用いられることがある。",
"RPA","Robotic Process Automation","人間がコンピュータを操作して行う作業を、ソフトウェアによる自動的な操作によって代替すること。主に企業などのデスクワークにおけるパソコンを使った業務の自動化・省力化を行うもので、業務の効率化や低コスト化を進めることができる。",
"アルゴリズム","algorithm","ある特定の問題を解く手順を、単純な計算や操作の組み合わせとして明確に定義したもの。数学の解法や計算手順なども含まれるが、ITの分野ではコンピュータにプログラムの形で与えて実行させることができるよう定式化された、処理手順の集合のことを指すことが多い。",
